                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.7509,                 1.1328,                 1.5411,                 0.9037,                0.87983,                0.93139,                0.47289,                 1.6709,                0.95372,                 1.1746,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.7283,                 1.0833,                 1.4422,                0.85442,                0.78088,                0.85024,                0.38447,                 1.8118,                 1.1183,                 1.1968,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.9145,                 1.2039,                 1.5245,                0.91871,                0.82454,                0.93405,                0.51836,                 1.5449,                0.89627,                 1.0949,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.7739,                 1.1434,                 1.4327,                0.80427,                0.80687,                0.86242,                0.40934,                 1.7541,                0.99429,                 1.1571,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.8368,                 1.1103,                 1.3787,                0.91942,                0.82833,                0.93168,                0.47192,                 1.6193,                0.91246,                 1.1399,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.7756,                  1.122,                 1.4681,                0.92243,                0.84549,                0.93738,                0.46303,                 1.6629,                  0.969,                 1.1561,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.7696,                 1.1523,                 1.4314,                0.95508,                0.82129,                0.93237,                0.47946,                 1.6227,                0.92754,                 1.1144,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.7412,                 1.1055,                 1.4456,                0.96556,                0.88841,                0.96336,                 0.5226,                 1.5471,                0.84191,                 1.0988,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.6743,                 1.0412,                 1.4171,                0.90785,                0.88841,                0.91994,                0.50697,                 1.5333,                0.93245,                 1.1077,               0.001208,               0.001208,               0.001208
                     83,                 1.7671,                 1.0774,                 1.3729,                 0.9471,                0.84524,                0.94371,                0.50418,                 1.5725,                0.83355,                 1.1104,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.6977,                 1.0138,                 1.4308,                0.94868,                0.87273,                 0.9641,                0.50963,                 1.5019,                0.85978,                 1.0844,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.6278,                 1.0042,                 1.4384,                0.91165,                0.84147,                0.93993,                0.53343,                 1.4978,                0.86938,                 1.1013,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.7394,                 1.0517,                 1.4676,                0.95341,                 0.8782,                0.93391,                 0.5234,                 1.5348,                0.91434,                 1.0936,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.7072,                 1.0571,                 1.4117,                 0.9622,                  0.874,                0.96125,                0.53633,                  1.474,                0.85668,                 1.0448,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.6592,                 1.0366,                 1.3906,                0.97161,                0.88129,                0.97094,                0.56229,                 1.4876,                0.83944,                 1.0773,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.7609,                 1.0795,                  1.449,                0.89517,                0.87961,                0.95537,                0.50189,                 1.5616,                0.89381,                 1.1042,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.7317,                 1.0997,                  1.419,                0.92697,                 0.8716,                0.94547,                0.51673,                 1.5401,                0.83449,                 1.1077,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.7155,                 1.0521,                  1.437,                0.94627,                0.90705,                0.97088,                0.52606,                 1.5183,                0.80747,                 1.0912,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.6864,                 1.0377,                 1.4515,                0.95399,                0.87554,                0.94003,                0.47228,                 1.6734,                0.83464,                 1.0851,               0.001109,               0.001109,               0.001109
                     93,                 1.7556,                 1.0474,                 1.4399,                0.95046,                 0.8927,                0.95715,                 0.5409,                 1.5559,                0.85481,                 1.0788,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.7172,                 1.0164,                 1.3474,                0.92188,                 0.9117,                 0.9643,                0.52933,                  1.563,                0.82484,                 1.0864,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.6487,                0.99185,                 1.3932,                0.93359,                0.90497,                0.95949,                0.55462,                 1.5012,                0.83632,                 1.0937,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.5779,                0.97728,                 1.3178,                 0.9629,                0.89109,                0.96885,                0.55752,                 1.4666,                0.80935,                 1.0728,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.6385,                0.95944,                  1.317,                0.94765,                0.86695,                0.93579,                 0.5208,                 1.5332,                0.84911,                 1.0684,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.6708,                 1.0247,                 1.4689,                0.94672,                0.91505,                0.95532,                0.54189,                 1.4616,                0.79101,                 1.1007,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.6888,                 1.0058,                 1.3781,                 0.9287,                0.89447,                0.95856,                0.54019,                 1.5258,                0.79803,                 1.0785,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.6423,                 1.0898,                 1.3411,                0.91359,                0.90987,                0.95186,                0.54798,                 1.5105,                0.79054,                 1.0532,              0.0010298,              0.0010298,              0.0010298
                    101,                  1.621,                0.90099,                 1.3102,                0.95917,                0.90558,                0.97019,                0.58324,                 1.3997,                0.76668,                 1.0589,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.6308,                 1.0605,                 1.4306,                0.96006,                0.87124,                0.96028,                0.57862,                 1.4471,                0.80803,                 1.0671,                0.00101,                0.00101,                0.00101
                    103,                 1.6085,                0.98739,                 1.3429,                0.95369,                  0.897,                0.95895,                0.54113,                  1.513,                0.79939,                  1.081,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.6331,                  1.018,                 1.4341,                0.94123,                0.90129,                0.95486,                0.53054,                 1.5477,                0.85656,                 1.0823,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.5517,                0.95947,                 1.3318,                0.95996,                0.90558,                0.97455,                 0.5738,                 1.4272,                0.78817,                 1.0554,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.6451,                0.99813,                 1.4206,                0.93856,                 0.9485,                0.98177,                0.59251,                  1.386,                0.75147,                 1.0266,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.5948,                0.93391,                 1.3764,                0.95835,                0.88885,                0.96181,                0.54713,                 1.4598,                0.79245,                 1.0381,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.6355,                0.95746,                 1.4364,                0.95232,                0.93562,                0.97429,                  0.567,                 1.4312,                0.74997,                 1.0321,              0.0009506,              0.0009506,              0.0009506
                    109,                   1.61,                0.93401,                  1.369,                0.95637,                0.94068,                0.98311,                0.57602,                 1.4009,                0.79669,                 1.0381,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.5677,                0.93332,                 1.3611,                0.98402,                0.90129,                0.97469,                0.55261,                 1.4981,                0.77009,                 1.0338,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.6487,                 0.9853,                 1.4042,                0.96699,                0.92275,                0.97579,                0.59249,                 1.3926,                0.75153,                 1.0282,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.6309,                0.93375,                 1.3072,                0.97842,                0.90129,                0.96872,                0.57794,                 1.4114,                0.74102,                 1.0061,               0.000911,               0.000911,               0.000911
                    113,                  1.582,                0.93758,                 1.3074,                 0.9682,                0.91465,                0.97919,                0.58307,                 1.3807,                0.74436,                 1.0077,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.6325,                0.96856,                 1.4213,                0.95548,                0.88841,                0.96224,                0.57212,                 1.4478,                0.79229,                 1.0323,              0.0008912,              0.0008912,              0.0008912
                    115,                  1.553,                0.95075,                 1.3833,                  0.948,                 0.9485,                0.98725,                0.59352,                 1.3812,                0.72984,                 1.0174,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.5789,                 0.9187,                 1.3724,                0.93946,                0.93238,                0.97778,                 0.6011,                 1.3384,                0.74264,                 1.0168,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.5405,                0.91137,                 1.3379,                0.95969,                0.90987,                 0.9698,                0.57567,                 1.4078,                0.76907,                 1.0502,              0.0008615,              0.0008615,              0.0008615
                    118,                  1.576,                 0.9627,                 1.3027,                0.94101,                 0.9485,                0.98173,                0.57841,                 1.3697,                0.73855,                 1.0152,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.5215,                0.88343,                 1.3218,                0.97304,                0.94421,                0.98144,                0.59555,                 1.3503,                0.73718,                 1.0025,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.4911,                 0.8676,                 1.2723,                0.94519,                0.93991,                0.97432,                0.56573,                 1.4379,                 0.7644,                  1.036,              0.0008318,              0.0008318,              0.0008318
                    121,                 1.4475,                0.87845,                 1.2645,                0.96524,                 0.9534,                0.97929,                0.61247,                 1.3401,                0.69982,                 1.0136,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.5222,                0.86304,                 1.3627,                0.96027,                0.94421,                0.98265,                0.59424,                 1.3656,                0.73089,                 1.0337,               0.000812,               0.000812,               0.000812
                    123,                 1.5401,                0.88006,                 1.3262,                0.95987,                0.95279,                0.97112,                0.58605,                 1.3218,                0.81764,                 1.0168,              0.0008021,              0.0008021,              0.0008021
                    124,                 1.5123,                 0.8276,                 1.2864,                 0.9648,                0.94121,                0.97785,                0.59955,                 1.3538,                0.71765,                 1.0209,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.4734,                 0.8404,                 1.3465,                0.96511,                 0.9498,                0.99004,                0.60928,                 1.3192,                  0.676,                0.99525,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.4487,                0.86632,                 1.3356,                0.96425,                0.92617,                0.98149,                0.60525,                 1.3362,                  0.697,                 1.0003,              0.0007724,              0.0007724,              0.0007724
                    127,                 1.4737,                0.87889,                 1.3222,                0.94694,                 0.9485,                0.98082,                0.62912,                   1.29,                0.67535,                 1.0036,              0.0007625,              0.0007625,              0.0007625
                    128,                  1.571,                0.89266,                 1.3074,                0.96585,                0.97425,                0.99013,                0.61618,                 1.3086,                0.71039,                 1.0122,              0.0007526,              0.0007526,              0.0007526
                    129,                 1.4366,                 0.8564,                 1.2987,                0.94358,                0.93316,                0.97198,                0.58081,                 1.3535,                0.73561,                 1.0256,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.4657,                0.89361,                 1.3902,                0.94715,                0.92294,                 0.9752,                0.58907,                  1.353,                0.74504,                 1.0287,              0.0007328,              0.0007328,              0.0007328
                    131,                 1.4181,                0.84236,                 1.1904,                0.95653,                 0.9485,                 0.9848,                0.63693,                 1.2363,                0.67515,                0.97662,              0.0007229,              0.0007229,              0.0007229
                    132,                 1.4035,                0.85291,                 1.2621,                0.94475,                0.96567,                0.97863,                0.63695,                 1.2537,                0.68728,                0.97832,               0.000713,               0.000713,               0.000713
                    133,                  1.469,                0.81317,                 1.2543,                0.95735,                0.96328,                0.98174,                0.58023,                 1.3079,                0.70987,                0.98738,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.4856,                0.85133,                 1.2923,                0.95208,                0.93807,                0.98572,                0.62913,                 1.2624,                0.67039,                0.97851,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.4099,                0.77264,                  1.198,                0.96885,                0.93444,                0.97494,                0.63133,                 1.2332,                0.65978,                 0.9564,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.5085,                0.83668,                   1.28,                0.97547,                0.95279,                0.98802,                0.61582,                  1.247,                0.67265,                0.96953,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.4754,                0.82447,                  1.282,                0.96473,                0.93908,                0.97666,                0.62766,                 1.2566,                 0.6698,                0.98035,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.4011,                0.76255,                 1.2204,                0.96091,                0.94953,                0.98322,                 0.6259,                  1.264,                  0.703,                0.98607,              0.0006536,              0.0006536,              0.0006536
                    139,                 1.4898,                0.83852,                 1.3349,                0.97982,                0.95279,                0.98243,                0.64066,                 1.2379,                0.66475,                0.98043,              0.0006437,              0.0006437,              0.0006437
                    140,                 1.4552,                0.80455,                 1.2482,                0.97944,                0.94421,                0.97503,                0.62152,                 1.3161,                0.67568,                0.98529,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.4117,                0.78804,                 1.2685,                0.96131,                 0.9485,                0.97895,                0.63603,                 1.2434,                0.65176,                0.96771,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.4057,                0.77922,                 1.2013,                0.96879,                0.94421,                0.97981,                0.64849,                 1.2333,                0.66027,                0.96969,               0.000614,               0.000614,               0.000614
                    143,                 1.4169,                0.81342,                 1.2446,                0.97608,                0.93991,                0.98082,                0.63613,                 1.2345,                 0.6565,                0.97612,              0.0006041,              0.0006041,              0.0006041
                    144,                 1.3628,                0.80124,                 1.2132,                0.96188,                0.97456,                0.98725,                0.63926,                 1.2146,                0.66144,                0.96661,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.4156,                0.83298,                 1.2721,                0.94521,                0.96257,                0.97939,                0.64213,                 1.1886,                0.64084,                0.95146,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.4307,                0.83632,                 1.2808,                0.96954,                0.95624,                0.98908,                0.63529,                 1.2558,                0.65243,                 0.9695,              0.0005744,              0.0005744,              0.0005744
                    147,                 1.3488,                0.76096,                 1.2301,                0.96706,                0.94421,                0.97835,                0.62183,                 1.2805,                0.66413,                0.97335,              0.0005645,              0.0005645,              0.0005645
                    148,                 1.3855,                0.78451,                 1.2593,                0.93501,                0.96567,                0.97933,                0.64289,                 1.2326,                0.65714,                 0.9734,              0.0005546,              0.0005546,              0.0005546
                    149,                 1.3866,                  0.766,                 1.2664,                0.93962,                0.96996,                0.97933,                0.64072,                 1.2721,                0.63835,                0.98033,              0.0005447,              0.0005447,              0.0005447
                    150,                 1.4204,                0.76983,                 1.2358,                0.95284,                0.95279,                0.98793,                0.66204,                 1.1707,                0.63853,                0.95137,              0.0005348,              0.0005348,              0.0005348
